대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 중구 대사동 118-21,90.55,블록구조,제1종근린생활시설,(철근)콘크리트,1977-09-20
대전광역시 중구 대사동 118-3,99.96,벽돌구조,제1종근린생활시설,(철근)콘크리트,1977-07-27
대전광역시 중구 대사동 118-9,57.29,벽돌구조,제2종근린생활시설,기와,1971-07-28
대전광역시 중구 대사동 119-12,119.73,철근콘크리트구조,공동주택,(철근)콘크리트,2001-09-03
대전광역시 중구 대사동 119-2,158.42,철근콘크리트구조,공동주택,(철근)콘크리트,2001-11-01
대전광역시 중구 대사동 120,160.03,철근콘크리트구조,공동주택,(철근)콘크리트,2003-09-04
대전광역시 중구 대사동 120-3,39.66,일반목구조,단독주택,기와,1958
대전광역시 중구 대사동 120-4,61.16,벽돌구조,단독주택,기와,1978-10-01
대전광역시 중구 대사동 120-7,76.7,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,2003-09-06
대전광역시 중구 대사동 121,302.62,일반목구조,단독주택,기와,1953
대전광역시 중구 대사동 121-2,138.0,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2012-11-19
대전광역시 중구 대사동 121-4,115.48,벽돌구조,단독주택,기와,1972-11-24
대전광역시 중구 대사동 121-5,100.87,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1998-01-05
대전광역시 중구 대사동 121-8,188.965,철근콘크리트구조,단독주택,(철근)콘크리트,1997-06-16
대전광역시 중구 대사동 122-1,69.38,기타조적구조,단독주택,(철근)콘크리트,1997-06-14
대전광역시 중구 대사동 122-10,61.82,벽돌구조,단독주택,기와,1975-10-04
대전광역시 중구 대사동 122-11,80.83,벽돌구조,제1종근린생활시설,(철근)콘크리트,1979-06-05
대전광역시 중구 대사동 122-12,87.96,벽돌구조,단독주택,(철근)콘크리트,1976-10-07
대전광역시 중구 대사동 122-13,87.97,벽돌구조,단독주택,(철근)콘크리트,1976-10-07
대전광역시 중구 대사동 122-15,103.54,벽돌구조,단독주택,(철근)콘크리트,1977-12-01
