대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 동구 가양동 147-45,109.56,철근콘크리트구조,단독주택,(철근)콘크리트,2016-06-23
대전광역시 동구 가양동 147-46,105.12,철근콘크리트구조,단독주택,(철근)콘크리트,2017-12-08
대전광역시 동구 가양동 147-48,105.12,철근콘크리트구조,단독주택,(철근)콘크리트,2017-12-08
대전광역시 동구 가양동 147-5,107.76,철근콘크리트구조,단독주택,(철근)콘크리트,2015-11-17
대전광역시 동구 가양동 147-6,110.92,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1989-06-10
대전광역시 동구 가양동 147-7,164.17,철근콘크리트구조,단독주택,(철근)콘크리트,2021-11-02
대전광역시 동구 가양동 147-8,148.68,철근콘크리트구조,단독주택,(철근)콘크리트,2019-06-27
대전광역시 동구 가양동 147-9,109.56,철근콘크리트구조,단독주택,(철근)콘크리트,2016-06-23
대전광역시 동구 가양동 148-1,113.01,철근콘크리트구조,단독주택,(철근)콘크리트,2003-03-03
대전광역시 동구 가양동 148-10,104.35,철근콘크리트구조,단독주택,(철근)콘크리트,2003-03-10
대전광역시 동구 가양동 148-11,111.84,철근콘크리트구조,단독주택,(철근)콘크리트,2011-09-23
대전광역시 동구 가양동 148-12,111.21,철근콘크리트구조,단독주택,(철근)콘크리트,2011-09-23
대전광역시 동구 가양동 148-2,128.3,철근콘크리트구조,단독주택,(철근)콘크리트,2016-02-24
대전광역시 동구 가양동 148-3,141.04,철근콘크리트구조,단독주택,(철근)콘크리트,1996-09-09
대전광역시 동구 가양동 148-5,534.89,철근콘크리트구조,공동주택,(철근)콘크리트,2000-02-28
대전광역시 동구 가양동 148-6,134.69,철근콘크리트구조,단독주택,(철근)콘크리트,2010-08-23
대전광역시 동구 가양동 148-7,168.38,철근콘크리트구조,공동주택,(철근)콘크리트,2002-03-02
대전광역시 동구 가양동 148-8,94.67,철근콘크리트구조,단독주택,(철근)콘크리트,2016-01-20
대전광역시 동구 가양동 148-9,47.76,벽돌구조,단독주택,(철근)콘크리트,1990-10-11
대전광역시 동구 가양동 149-1,136.32,벽돌구조,단독주택,(철근)콘크리트,1985-05-11
대전광역시 동구 가양동 149-10,98.7,철근콘크리트구조,공동주택,(철근)콘크리트,2002-04-30
대전광역시 동구 가양동 149-11,142.68,철근콘크리트구조,단독주택,(철근)콘크리트,1997-07-24
대전광역시 동구 가양동 149-12,77.28,벽돌구조,단독주택,(철근)콘크리트,1988-12-02
대전광역시 동구 가양동 149-13,73.71,벽돌구조,단독주택,(철근)콘크리트,1980-11-12
대전광역시 동구 가양동 149-14,191.97,철근콘크리트구조,단독주택,(철근)콘크리트,2002-09-14
대전광역시 동구 가양동 149-15,64.85,벽돌구조,제1종근린생활시설,(철근)콘크리트,1980-12-19
대전광역시 동구 가양동 149-16,148.68,철근콘크리트구조,단독주택,(철근)콘크리트,2015-12-28
대전광역시 동구 가양동 149-18,227.62,벽돌구조,단독주택,슬레이트,1975-08-18
대전광역시 동구 가양동 149-2,84.18,벽돌구조,단독주택,(철근)콘크리트,1990-07-23
대전광역시 동구 가양동 149-20,151.25,철근콘크리트구조,단독주택,(철근)콘크리트,2016-08-01
대전광역시 동구 가양동 149-21,154.56,철근콘크리트구조,단독주택,(철근)콘크리트,2017-01-24
대전광역시 동구 가양동 149-22,118.9,벽돌구조,단독주택,(철근)콘크리트,1995-08-25
대전광역시 동구 가양동 149-23,95.61,벽돌구조,단독주택,(철근)콘크리트,1987-07-16
대전광역시 동구 가양동 149-24,100.0,벽돌구조,단독주택,(철근)콘크리트,1984-06-26
대전광역시 동구 가양동 149-25,205.12,벽돌구조,공동주택,(철근)콘크리트,1990-10-08
대전광역시 동구 가양동 149-27,312.96,철근콘크리트구조,공동주택,(철근)콘크리트,1994-09-04
대전광역시 동구 가양동 149-3,50.24,벽돌구조,제1종근린생활시설,(철근)콘크리트,1978-09-11
대전광역시 동구 가양동 149-30,74.75,벽돌구조,단독주택,(철근)콘크리트,1988-10-13
대전광역시 동구 가양동 149-31,73.93,벽돌구조,단독주택,(철근)콘크리트,1988-10-13
대전광역시 동구 가양동 149-32,74.35,벽돌구조,단독주택,(철근)콘크리트,1988-10-13
대전광역시 동구 가양동 149-34,73.11,벽돌구조,단독주택,(철근)콘크리트,1988-10-13
대전광역시 동구 가양동 149-35,77.28,벽돌구조,단독주택,(철근)콘크리트,1988-12-03
대전광역시 동구 가양동 149-36,102.31,벽돌구조,단독주택,(철근)콘크리트,1994-07-02
대전광역시 동구 가양동 149-38,88.74,벽돌구조,단독주택,(철근)콘크리트,1989-09-04
대전광역시 동구 가양동 149-39,74.11,벽돌구조,단독주택,(철근)콘크리트,1981-03-30
대전광역시 동구 가양동 149-4,46.11,벽돌구조,제1종근린생활시설,(철근)콘크리트,1988-05-09
대전광역시 동구 가양동 149-40,78.13,벽돌구조,단독주택,(철근)콘크리트,1988-08-20
대전광역시 동구 가양동 149-41,69.49,벽돌구조,단독주택,(철근)콘크리트,1989-01-05
대전광역시 동구 가양동 149-42,82.25,철근콘크리트구조,단독주택,(철근)콘크리트,2017-11-21
대전광역시 동구 가양동 149-44,77.6,벽돌구조,단독주택,(철근)콘크리트,1990-08-31
대전광역시 동구 가양동 149-45,46.18,블록구조,단독주택,슬레이트,1975-10-28
대전광역시 동구 가양동 149-46,76.59,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2016-08-17
대전광역시 동구 가양동 149-47,74.59,벽돌구조,단독주택,(철근)콘크리트,1982-09-30
대전광역시 동구 가양동 149-48,89.63,벽돌구조,단독주택,기타지붕,1981-08-05
대전광역시 동구 가양동 149-49,72.4,벽돌구조,단독주택,(철근)콘크리트,1980-08-07
대전광역시 동구 가양동 149-5,82.2,벽돌구조,단독주택,(철근)콘크리트,1986-12-20
대전광역시 동구 가양동 149-51,88.3,철근콘크리트구조,단독주택,(철근)콘크리트,2010-08-09
대전광역시 동구 가양동 149-52,80.72,벽돌구조,단독주택,(철근)콘크리트,1989-11-06
대전광역시 동구 가양동 149-54,97.5,벽돌구조,단독주택,(철근)콘크리트,1984-06-23
대전광역시 동구 가양동 149-57,110.88,경량철골구조,제1종근린생활시설,기타지붕,1992-12-29
대전광역시 동구 가양동 149-6,77.05,벽돌구조,단독주택,(철근)콘크리트,1983-09-28
대전광역시 동구 가양동 149-7,116.4,철근콘크리트구조,단독주택,(철근)콘크리트,2010-08-23
대전광역시 동구 가양동 149-8,149.28,철근콘크리트구조,단독주택,(철근)콘크리트,2011-06-13
대전광역시 동구 가양동 149-9,217.08,철근콘크리트구조,공동주택,(철근)콘크리트,1992-01-08
대전광역시 동구 가양동 150-10,58.4,철근콘크리트구조,단독주택,(철근)콘크리트,1997-10-14
대전광역시 동구 가양동 150-11,83.16,철근콘크리트구조,단독주택,(철근)콘크리트,2022-05-20
대전광역시 동구 가양동 150-12,202.94,철근콘크리트구조,단독주택,(철근)콘크리트,2010-11-09
대전광역시 동구 가양동 150-14,158.4,철근콘크리트구조,단독주택,(철근)콘크리트,2011-03-07
대전광역시 동구 가양동 150-16,123.56,철근콘크리트구조,단독주택,(철근)콘크리트,2005-09-27
대전광역시 동구 가양동 150-17,195.24,철근콘크리트구조,단독주택,(철근)콘크리트,2011-06-16
대전광역시 동구 가양동 150-18,84.85,철근콘크리트구조,단독주택,(철근)콘크리트,2001-06-13
대전광역시 동구 가양동 150-19,78.3,철근콘크리트구조,단독주택,(철근)콘크리트,1995-08-18
대전광역시 동구 가양동 150-2,211.11,철근콘크리트구조,공동주택,(철근)콘크리트,1997-04-09
대전광역시 동구 가양동 150-20,166.01,철근콘크리트구조,공동주택,(철근)콘크리트,1992-08-03
대전광역시 동구 가양동 150-21,44.62,벽돌구조,단독주택,(철근)콘크리트,1978-04-24
대전광역시 동구 가양동 150-22,161.265,철근콘크리트구조,단독주택,(철근)콘크리트,1997-10-14
대전광역시 동구 가양동 150-23,82.68,벽돌구조,종교시설,기와,1981-03-09
대전광역시 동구 가양동 150-24,76.03,벽돌구조,단독주택,기와,1982-08-18
대전광역시 동구 가양동 150-25,79.43,벽돌구조,단독주택,(철근)콘크리트,1982-08-19
대전광역시 동구 가양동 150-26,76.44,철근콘크리트구조,노유자시설,(철근)콘크리트,2017-06-15
대전광역시 동구 가양동 150-27,74.19,벽돌구조,단독주택,기와,1982-08-18
대전광역시 동구 가양동 150-3,109.35,철근콘크리트구조,숙박시설,(철근)콘크리트,1985-05-23
대전광역시 동구 가양동 150-31,99.76,철근콘크리트구조,단독주택,(철근)콘크리트,2009-09-18
대전광역시 동구 가양동 150-32,119.65,철근콘크리트구조,단독주택,(철근)콘크리트,2009-08-27
대전광역시 동구 가양동 150-4,50.4,경량철골구조,단독주택,기타지붕,1994-07-15
대전광역시 동구 가양동 150-5,327.1,벽돌구조,단독주택,기와,1941
대전광역시 동구 가양동 150-7,122.19,철근콘크리트구조,단독주택,(철근)콘크리트,2009-08-27
대전광역시 동구 가양동 150-8,98.16,벽돌구조,단독주택,(철근)콘크리트,1982-08-19
대전광역시 동구 가양동 150-9,97.65,벽돌구조,단독주택,(철근)콘크리트,1987-12-28
대전광역시 동구 가양동 151-1,82.5,경량철골구조,제2종근린생활시설,기타지붕,2015-05-19
대전광역시 동구 가양동 151-10,90.08,벽돌구조,단독주택,(철근)콘크리트,1990-09-27
대전광역시 동구 가양동 151-11,85.86,벽돌구조,단독주택,(철근)콘크리트,1990-09-10
대전광역시 동구 가양동 151-12,144.6,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1990-09-13
대전광역시 동구 가양동 151-13,120.64,벽돌구조,단독주택,(철근)콘크리트,1990-09-03
대전광역시 동구 가양동 151-14,132.45,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1994-02-18
