대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 대덕구 대화동 15-6,209.61,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1990-10-22
대전광역시 대덕구 대화동 155-1,1184.93,벽돌구조,공장,(철근)콘크리트,1994-01-21
대전광역시 대덕구 대화동 156-2,504.16,경량철골구조,공장,기타지붕,1991-02-11
대전광역시 대덕구 대화동 158-2,1805.37,철근콘크리트구조,공장,슬레이트,1978-05-26
대전광역시 대덕구 대화동 16-100,74.78,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-101,74.91,벽돌구조,단독주택,슬레이트,1977-05-02
대전광역시 대덕구 대화동 16-102,78.94,벽돌구조,단독주택,(철근)콘크리트,1976-12-14
대전광역시 대덕구 대화동 16-103,77.98,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-104,71.96,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-105,89.7,벽돌구조,단독주택,(철근)콘크리트,1976-07-26
대전광역시 대덕구 대화동 16-106,75.61,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-107,85.92,벽돌구조,단독주택,(철근)콘크리트,1976-12-15
대전광역시 대덕구 대화동 16-108,88.79,벽돌구조,단독주택,(철근)콘크리트,1976-06-05
대전광역시 대덕구 대화동 16-109,83.34,벽돌구조,단독주택,(철근)콘크리트,1976-06-09
대전광역시 대덕구 대화동 16-111,63.8,벽돌구조,단독주택,(철근)콘크리트,1976-10-19
대전광역시 대덕구 대화동 16-112,68.33,벽돌구조,단독주택,(철근)콘크리트,1976-07-13
대전광역시 대덕구 대화동 16-113,74.41,벽돌구조,단독주택,(철근)콘크리트,1976-10-19
대전광역시 대덕구 대화동 16-114,68.84,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1983-05-28
대전광역시 대덕구 대화동 16-117,74.51,벽돌구조,단독주택,(철근)콘크리트,1977-07-01
대전광역시 대덕구 대화동 16-119,68.22,벽돌구조,단독주택,(철근)콘크리트,1976-06-07
대전광역시 대덕구 대화동 16-120,70.58,벽돌구조,단독주택,(철근)콘크리트,1976-07-13
대전광역시 대덕구 대화동 16-121,77.85,벽돌구조,단독주택,(철근)콘크리트,1977-07-06
대전광역시 대덕구 대화동 16-122,80.96,벽돌구조,단독주택,(철근)콘크리트,1977-08-31
대전광역시 대덕구 대화동 16-123,77.98,벽돌구조,단독주택,(철근)콘크리트,1976-07-13
대전광역시 대덕구 대화동 16-125,62.32,벽돌구조,단독주택,(철근)콘크리트,1976-05-01
대전광역시 대덕구 대화동 16-126,142.57,벽돌구조,단독주택,(철근)콘크리트,1991-08-12
대전광역시 대덕구 대화동 16-128,72.26,벽돌구조,단독주택,(철근)콘크리트,1977-01-31
대전광역시 대덕구 대화동 16-13,1155.12,벽돌구조,공동주택,(철근)콘크리트,1985-02-19
대전광역시 대덕구 대화동 16-130,146.67,벽돌구조,단독주택,(철근)콘크리트,1980-09-12
대전광역시 대덕구 대화동 16-133,115.38,벽돌구조,단독주택,(철근)콘크리트,1991-10-10
대전광역시 대덕구 대화동 16-134,139.53,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980-02-23
대전광역시 대덕구 대화동 16-137,80.73,벽돌구조,숙박시설,(철근)콘크리트,1979-09-12
대전광역시 대덕구 대화동 16-138,97.95,벽돌구조,단독주택,(철근)콘크리트,1981-06-25
대전광역시 대덕구 대화동 16-139,110.48,벽돌구조,단독주택,(철근)콘크리트,1985-05-22
대전광역시 대덕구 대화동 16-14,247.9,벽돌구조,공동주택,(철근)콘크리트,1980-12-09
대전광역시 대덕구 대화동 16-140,186.4,일반철골구조,위험물저장및처리시설,(철근)콘크리트,2014-12-18
대전광역시 대덕구 대화동 16-142,82.84,벽돌구조,단독주택,(철근)콘크리트,1979-02-28
대전광역시 대덕구 대화동 16-144,81.98,벽돌구조,단독주택,(철근)콘크리트,1979-05-23
대전광역시 대덕구 대화동 16-145,423.59,벽돌구조,제2종근린생활시설,(철근)콘크리트,1999-06-14
대전광역시 대덕구 대화동 16-147,141.85,벽돌구조,단독주택,(철근)콘크리트,1979-06-30
대전광역시 대덕구 대화동 16-148,72.96,벽돌구조,단독주택,(철근)콘크리트,1977-10-22
대전광역시 대덕구 대화동 16-149,81.39,벽돌구조,단독주택,(철근)콘크리트,1977-10-22
대전광역시 대덕구 대화동 16-15,65.06,벽돌구조,단독주택,기와,1976-06-03
대전광역시 대덕구 대화동 16-150,81.39,벽돌구조,단독주택,(철근)콘크리트,1977-10-12
대전광역시 대덕구 대화동 16-153,102.16,벽돌구조,단독주택,(철근)콘크리트,1979-09-25
대전광역시 대덕구 대화동 16-154,358.90999999999997,철근콘크리트구조,공장,(철근)콘크리트,1985-07-22
대전광역시 대덕구 대화동 16-155,82.08,벽돌구조,단독주택,(철근)콘크리트,1977-10-18
대전광역시 대덕구 대화동 16-158,40.5,벽돌구조,단독주택,(철근)콘크리트,1985-05-25
대전광역시 대덕구 대화동 16-159,125.66,벽돌구조,단독주택,(철근)콘크리트,1979-09-17
대전광역시 대덕구 대화동 16-16,260.0,일반철골구조,제2종근린생활시설,기타지붕,2006-10-31
대전광역시 대덕구 대화동 16-160,82.09,벽돌구조,단독주택,(철근)콘크리트,1977-10-18
대전광역시 대덕구 대화동 16-161,460.8,벽돌구조,공동주택,(철근)콘크리트,1975-11-01
대전광역시 대덕구 대화동 16-163,1241.48,철근콘크리트구조,공동주택,(철근)콘크리트,1983-03-11
대전광역시 대덕구 대화동 16-165,114.2,벽돌구조,단독주택,(철근)콘크리트,1990-05-14
