대지위치,건축면적,주구조,용도,지붕구조,사용승인년도
대전광역시 대덕구 석봉동 180-19,160.85,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2019
대전광역시 대덕구 석봉동 180-2,111.92,벽돌구조,단독주택,기와,1995
대전광역시 대덕구 석봉동 180-20,215.92,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 180-22,61.88,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 180-26,62.08,블록구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 180-3,169.72,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2008
대전광역시 대덕구 석봉동 180-4,244.28,철근콘크리트구조,단독주택,(철근)콘크리트,2004
대전광역시 대덕구 석봉동 180-44,40.66,일반목구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 180-6,143.85,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 180-9,77.45,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 181-11,103.17,블록구조,단독주택,기와,1983
대전광역시 대덕구 석봉동 181-21,39.67,기타조적구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 181-25,30.25,블록구조,단독주택,슬레이트,1975
대전광역시 대덕구 석봉동 181-27,80.85,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 181-28,100.16,철근콘크리트구조,단독주택,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 181-3,338.88,철근콘크리트구조,공동주택,(철근)콘크리트,2001
대전광역시 대덕구 석봉동 181-30,78.03,벽돌구조,단독주택,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 181-31,80.84,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 181-34,943.4,철근콘크리트구조,공동주택,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 181-4,764.6,철근콘크리트구조,공동주택,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 181-5,103.94,벽돌구조,제2종근린생활시설,슬레이트,2002
대전광역시 대덕구 석봉동 181-6,100.75,벽돌구조,단독주택,(철근)콘크리트,1995
대전광역시 대덕구 석봉동 181-7,170.58,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 181-8,132.9,벽돌구조,제2종근린생활시설,(철근)콘크리트,1995
대전광역시 대덕구 석봉동 181-9,1188.955,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 182-1,91.48,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 182-10,88.12,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 182-12,135.17,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 석봉동 182-13,114.37,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 석봉동 182-14,82.62,벽돌구조,단독주택,기와,1981
대전광역시 대덕구 석봉동 182-16,73.2,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 182-18,144.18,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 182-19,160.76,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 182-2,91.07,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 182-21,75.96,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 182-22,87.62,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 182-23,80.78,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 182-24,152.55,철근콘크리트구조,단독주택,(철근)콘크리트,2010
대전광역시 대덕구 석봉동 182-32,93.8,벽돌구조,단독주택,(철근)콘크리트,1986
대전광역시 대덕구 석봉동 182-33,53.32,블록구조,단독주택,기와,1984
대전광역시 대덕구 석봉동 182-36,81.12,철근콘크리트구조,단독주택,(철근)콘크리트,1986
대전광역시 대덕구 석봉동 182-5,196.44,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 182-6,177.3,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 182-7,204.04,철근콘크리트구조,단독주택,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 182-8,93.48,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 183-1,146.58,철근콘크리트구조,단독주택,(철근)콘크리트,2011
대전광역시 대덕구 석봉동 183-12,65.58,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 183-15,76.92,벽돌구조,단독주택,(철근)콘크리트,1987
대전광역시 대덕구 석봉동 183-18,72.86,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 183-2,252.57,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1998
대전광역시 대덕구 석봉동 183-21,91.91,벽돌구조,단독주택,(철근)콘크리트,1989
대전광역시 대덕구 석봉동 183-22,88.86,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 183-24,71.84,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 183-25,108.72,철근콘크리트구조,단독주택,기와,1997
대전광역시 대덕구 석봉동 183-3,71.28,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 석봉동 183-31,195.39,경량철골구조,제2종근린생활시설,기타지붕,1992
대전광역시 대덕구 석봉동 183-33,162.23,철근콘크리트구조,단독주택,(철근)콘크리트,2011
대전광역시 대덕구 석봉동 183-34,142.05,철근콘크리트구조,단독주택,(철근)콘크리트,2020
대전광역시 대덕구 석봉동 183-4,113.39,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 183-8,142.05,철근콘크리트구조,단독주택,(철근)콘크리트,2020
대전광역시 대덕구 석봉동 183-9,89.4,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 석봉동 184,85.42,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 184-1,319.42,철근콘크리트구조,노유자시설,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 184-10,49.9,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 184-11,77.68,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 184-3,1318.68,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1998
대전광역시 대덕구 석봉동 184-8,94.19,벽돌구조,단독주택,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 185,48.6,일반목구조,단독주택,기타지붕,1980
대전광역시 대덕구 석봉동 185-1,104.21,벽돌구조,단독주택,기와,1975
대전광역시 대덕구 석봉동 185-10,154.0,벽돌구조,단독주택,기타지붕,1999
대전광역시 대덕구 석봉동 185-12,88.63,철근콘크리트구조,단독주택,(철근)콘크리트,2009
대전광역시 대덕구 석봉동 185-13,61.62,벽돌구조,단독주택,기와,1988
대전광역시 대덕구 석봉동 185-15,52.63,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 185-16,84.68,블록구조,단독주택,기와,1974
대전광역시 대덕구 석봉동 185-17,78.35,벽돌구조,단독주택,기와,1974
대전광역시 대덕구 석봉동 185-18,67.49,벽돌구조,단독주택,기와,1976
대전광역시 대덕구 석봉동 185-19,105.69,철근콘크리트구조,단독주택,(철근)콘크리트,1997
대전광역시 대덕구 석봉동 185-2,124.9,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 185-20,60.28,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 185-23,57.2,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 185-24,85.89,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 185-25,54.24,벽돌구조,단독주택,기와,1974
대전광역시 대덕구 석봉동 185-26,88.74,경량철골구조,단독주택,기타지붕,2010
대전광역시 대덕구 석봉동 185-29,84.52,블록구조,단독주택,기와,1975
대전광역시 대덕구 석봉동 185-30,63.8,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 185-31,63.82,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 185-32,80.53,벽돌구조,단독주택,기와,1974
대전광역시 대덕구 석봉동 185-33,74.05,벽돌구조,단독주택,기와,1975
대전광역시 대덕구 석봉동 185-34,64.46,벽돌구조,단독주택,기와,1977
대전광역시 대덕구 석봉동 185-35,76.78,벽돌구조,단독주택,슬레이트,1975
대전광역시 대덕구 석봉동 185-36,73.29,벽돌구조,단독주택,슬레이트,1975
대전광역시 대덕구 석봉동 185-37,101.8,일반목구조,단독주택,기와,1984
대전광역시 대덕구 석봉동 185-38,83.04,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 185-39,112.12,벽돌구조,단독주택,슬레이트,1976
대전광역시 대덕구 석봉동 185-4,50.73,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 185-41,119.11,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1992
대전광역시 대덕구 석봉동 185-43,168.51,철근콘크리트구조,단독주택,(철근)콘크리트,2010
대전광역시 대덕구 석봉동 185-44,73.93,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 185-46,71.59,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 185-5,127.62,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 185-7,177.95,일반철골구조,제2종근린생활시설,기타지붕,2007
대전광역시 대덕구 석봉동 185-9,205.2,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2005
대전광역시 대덕구 석봉동 186-10,39.6,블록구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 186-11,76.33,블록구조,단독주택,슬레이트,1982
대전광역시 대덕구 석봉동 186-12,152.77,철근콘크리트구조,단독주택,(철근)콘크리트,2021
대전광역시 대덕구 석봉동 186-13,55.76,블록구조,단독주택,기와,1982
대전광역시 대덕구 석봉동 186-14,73.14,벽돌구조,단독주택,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 186-15,123.32,벽돌구조,단독주택,기와,1993
대전광역시 대덕구 석봉동 186-17,219.89,벽돌구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 186-2,54.77,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 186-21,82.74,벽돌구조,단독주택,(철근)콘크리트,1990
대전광역시 대덕구 석봉동 186-22,95.83,일반목구조,단독주택,기와,1983
대전광역시 대덕구 석봉동 186-24,81.7,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 186-27,108.62,벽돌구조,단독주택,(철근)콘크리트,1992
대전광역시 대덕구 석봉동 186-28,105.54,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 186-3,93.15,벽돌구조,단독주택,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 186-30,73.59,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 186-31,82.82,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 186-34,43.77,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 186-35,42.78,블록구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 186-37,59.16,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 186-38,92.85,블록구조,단독주택,기와,1982
대전광역시 대덕구 석봉동 186-39,60.45,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 186-4,189.84,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 186-42,136.635,경량철골구조,단독주택,기타지붕,1997
대전광역시 대덕구 석봉동 186-43,112.03,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 석봉동 186-44,86.14,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 186-47,65.63,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 186-48,49.59,블록구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 186-49,65.17,블록구조,단독주택,기타지붕,2014
대전광역시 대덕구 석봉동 186-5,102.97,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 186-52,71.8,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 186-53,70.69,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 석봉동 186-55,69.75,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 186-56,39.47,블록구조,단독주택,기와,1982
대전광역시 대덕구 석봉동 186-6,56.66,벽돌구조,단독주택,슬레이트,1979
대전광역시 대덕구 석봉동 186-61,49.59,벽돌구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 186-62,70.96,철근콘크리트구조,단독주택,(철근)콘크리트,2022
대전광역시 대덕구 석봉동 186-7,46.94,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 186-8,71.82,벽돌구조,단독주택,기와,1983
대전광역시 대덕구 석봉동 186-9,77.52,일반목구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 187-1,72.86,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 187-11,127.93,경량철골구조,단독주택,(철근)콘크리트,2005
대전광역시 대덕구 석봉동 187-12,79.76,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 석봉동 187-13,114.85,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 석봉동 187-16,72.56,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 187-18,94.41,벽돌구조,단독주택,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 187-20,23.76,기타조적구조,단독주택,기와,1997
대전광역시 대덕구 석봉동 187-3,779.91,철근콘크리트구조,단독주택,(철근)콘크리트,2003
대전광역시 대덕구 석봉동 187-7,440.17,철근콘크리트구조,종교시설,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 187-9,97.52,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 188-1,87.91,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2018
대전광역시 대덕구 석봉동 188-10,82.44,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 석봉동 188-11,229.66,철근콘크리트구조,단독주택,(철근)콘크리트,1997
대전광역시 대덕구 석봉동 188-13,404.5,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2017
대전광역시 대덕구 석봉동 188-14,179.32,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2017
대전광역시 대덕구 석봉동 188-2,232.72000000000003,벽돌구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 188-20,70.7,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 188-3,417.62,철근콘크리트구조,공동주택,(철근)콘크리트,2014
대전광역시 대덕구 석봉동 188-6,56.32,벽돌구조,제2종근린생활시설,(철근)콘크리트,1991
대전광역시 대덕구 석봉동 188-7,122.35,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 188-8,144.87,철근콘크리트구조,단독주택,(철근)콘크리트,2022
대전광역시 대덕구 석봉동 188-9,409.92,벽돌구조,공동주택,(철근)콘크리트,1989
대전광역시 대덕구 석봉동 189,47.93,블록구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 189-12,191.35,철근콘크리트구조,단독주택,(철근)콘크리트,2022
대전광역시 대덕구 석봉동 189-16,79.86,철근콘크리트구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 189-18,1240.0,철근콘크리트구조,공동주택,(철근)콘크리트,2019
대전광역시 대덕구 석봉동 189-19,110.53,벽돌구조,단독주택,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 189-22,154.63,벽돌구조,단독주택,기와,1992
대전광역시 대덕구 석봉동 189-3,408.79,철근콘크리트구조,단독주택,(철근)콘크리트,1995
대전광역시 대덕구 석봉동 189-38,199.85,철근콘크리트구조,단독주택,(철근)콘크리트,2022
대전광역시 대덕구 석봉동 19,63.14,기타조적구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 190-1,53.89,벽돌구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 190-11,66.77,일반목구조,단독주택,기와,1983
대전광역시 대덕구 석봉동 190-3,76.27,블록구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 190-5,152.07,기타조적구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 191,61.82,일반목구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 191-11,143.33,블록구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 191-12,166.69,철근콘크리트구조,단독주택,(철근)콘크리트,1990
대전광역시 대덕구 석봉동 191-13,97.49,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 191-14,169.82,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 191-15,105.54,블록구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 191-17,1352.61,일반철골구조,판매시설,기타지붕,2002
대전광역시 대덕구 석봉동 191-18,68.85,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 191-2,159.815,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 191-22,363.64,철근콘크리트구조,공장,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 191-23,746.38,철근콘크리트구조,공동주택,(철근)콘크리트,2006
대전광역시 대덕구 석봉동 191-24,339.79,철근콘크리트구조,단독주택,(철근)콘크리트,1995
대전광역시 대덕구 석봉동 191-27,207.77,철근콘크리트구조,단독주택,(철근)콘크리트,2018
대전광역시 대덕구 석봉동 191-28,116.87,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 191-29,52.95,벽돌구조,단독주택,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 191-3,101.12,경량철골구조,단독주택,기타지붕,2016
대전광역시 대덕구 석봉동 191-43,200.52,철근콘크리트구조,단독주택,(철근)콘크리트,2018
대전광역시 대덕구 석봉동 191-5,104.15,벽돌구조,단독주택,(철근)콘크리트,1986
대전광역시 대덕구 석봉동 191-7,259.44,철근콘크리트구조,단독주택,(철근)콘크리트,2023
대전광역시 대덕구 석봉동 191-9,228.21,철근콘크리트구조,교육연구시설,(철근)콘크리트,1991
대전광역시 대덕구 석봉동 193-5,51.24,일반목구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 194-13,96.99,벽돌구조,단독주택,(철근)콘크리트,1996
대전광역시 대덕구 석봉동 194-27,80.84,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2022
대전광역시 대덕구 석봉동 194-3,95.48,블록구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 194-36,169.47,철근콘크리트구조,단독주택,(철근)콘크리트,2015
대전광역시 대덕구 석봉동 194-4,67.52,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1998
대전광역시 대덕구 석봉동 194-42,127.61,일반목구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 194-43,84.53,블록구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 194-44,90.78,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 194-45,237.96,철근콘크리트구조,교육연구시설,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 194-5,98.88,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1998
대전광역시 대덕구 석봉동 198-1,138.91,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2015
대전광역시 대덕구 석봉동 198-11,44.63,블록구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 198-15,192.94,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 198-2,59.5,블록구조,단독주택,기와,1977
대전광역시 대덕구 석봉동 198-7,204.09,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1999
대전광역시 대덕구 석봉동 199-1,145.91,철근콘크리트구조,단독주택,(철근)콘크리트,2018
대전광역시 대덕구 석봉동 199-11,53.11,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 199-14,81.61,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 석봉동 199-15,184.54,벽돌구조,단독주택,기와,1981
대전광역시 대덕구 석봉동 199-17,63.65,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 199-21,182.69,철근콘크리트구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 199-22,72.0,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2000
대전광역시 대덕구 석봉동 199-25,70.47,벽돌구조,단독주택,슬레이트,1976
대전광역시 대덕구 석봉동 199-6,589.32,철근콘크리트구조,공동주택,(철근)콘크리트,2022
대전광역시 대덕구 석봉동 199-7,105.33,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 2-1,427.88,벽돌구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 2-6,46.61,기타조적구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 200-1,90.51,벽돌구조,단독주택,(철근)콘크리트,1974
대전광역시 대덕구 석봉동 200-12,52.78,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 200-13,81.6,일반철골구조,단독주택,기타지붕,2015
대전광역시 대덕구 석봉동 200-15,273.78,철근콘크리트구조,단독주택,(철근)콘크리트,2023
대전광역시 대덕구 석봉동 200-16,69.05,철근콘크리트구조,단독주택,(철근)콘크리트,2016
대전광역시 대덕구 석봉동 200-17,60.03,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 200-18,64.78,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 200-19,64.78,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 석봉동 200-2,64.78,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 석봉동 200-20,64.78,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 석봉동 200-3,493.68,철근콘크리트구조,공동주택,(철근)콘크리트,2021
대전광역시 대덕구 석봉동 200-5,152.85,철근콘크리트구조,단독주택,(철근)콘크리트,2015
대전광역시 대덕구 석봉동 200-7,244.16,철근콘크리트구조,단독주택,(철근)콘크리트,2023
대전광역시 대덕구 석봉동 200-8,195.32,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 200-9,74.16,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 201-1,388.47,철근콘크리트구조,종교시설,(철근)콘크리트,2002
대전광역시 대덕구 석봉동 201-10,0.0,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 201-11,68.55,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 201-12,86.09,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 201-14,113.7,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 201-16,89.98,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 201-19,77.71,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 201-20,76.36,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 201-22,98.73,철근콘크리트구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 201-23,109.17,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 201-24,79.53,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 201-25,81.29,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 201-7,112.62,철근콘크리트구조,단독주택,(철근)콘크리트,1999
대전광역시 대덕구 석봉동 202,17.52,기타조적구조,단독주택,슬레이트,1980
대전광역시 대덕구 석봉동 202-1,94.18,벽돌구조,노유자시설,(철근)콘크리트,1991
대전광역시 대덕구 석봉동 202-15,60.52,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 202-17,96.12,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1993
대전광역시 대덕구 석봉동 202-2,1309.12,철근콘크리트구조,공동주택,(철근)콘크리트,1979
대전광역시 대덕구 석봉동 202-20,73.3,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 202-31,99.5,경량철골구조,제2종근린생활시설,기타지붕,2016
대전광역시 대덕구 석봉동 202-6,87.76,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 석봉동 202-8,190.75,철근콘크리트구조,창고시설,(철근)콘크리트,1997
대전광역시 대덕구 석봉동 202-9,73.53,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1999
대전광역시 대덕구 석봉동 203-1,239.5,철근콘크리트구조,단독주택,(철근)콘크리트,2018
대전광역시 대덕구 석봉동 203-10,80.91,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 203-12,79.88,블록구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 203-18,93.42,벽돌구조,단독주택,(철근)콘크리트,1996
대전광역시 대덕구 석봉동 203-2,153.19,벽돌구조,단독주택,(철근)콘크리트,1995
대전광역시 대덕구 석봉동 203-20,110.41,벽돌구조,단독주택,(철근)콘크리트,1990
대전광역시 대덕구 석봉동 203-24,103.89,벽돌구조,단독주택,(철근)콘크리트,1998
대전광역시 대덕구 석봉동 203-25,128.5,벽돌구조,단독주택,(철근)콘크리트,1988
대전광역시 대덕구 석봉동 203-29,85.76,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 석봉동 203-3,77.4,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 석봉동 203-4,94.47,벽돌구조,단독주택,(철근)콘크리트,1994
대전광역시 대덕구 석봉동 203-5,98.51,벽돌구조,단독주택,(철근)콘크리트,1989
대전광역시 대덕구 석봉동 203-7,138.63,벽돌구조,단독주택,기와,1995
대전광역시 대덕구 석봉동 203-9,115.95,철골콘크리트구조,단독주택,기타지붕,2006
대전광역시 대덕구 석봉동 204-1,87.72,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 204-10,218.94,철근콘크리트구조,단독주택,기타지붕,2016
대전광역시 대덕구 석봉동 204-11,74.82,벽돌구조,단독주택,(철근)콘크리트,1996
대전광역시 대덕구 석봉동 204-12,80.66,블록구조,단독주택,기와,1980
대전광역시 대덕구 석봉동 204-14,135.08,벽돌구조,단독주택,기와,1977
대전광역시 대덕구 석봉동 204-15,77.24,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 석봉동 204-16,75.16,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 석봉동 204-24,106.83,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 204-25,88.62,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 석봉동 204-26,110.16,벽돌구조,단독주택,기와,1993
